#,Company,Email,Person,Title,Region,Notes
,Affine,info@affine.ai,Corporate Office,General,Bangalore,Bengaluru analytics/AI; VERIFIED printed on affine.ai/contact-us (cf-decoded); MX OK
,Brillio,info@brillio.com,Corporate Office,General,Bangalore,Bengaluru digital; VERIFIED printed on brillio.com/contact-us (mailto); MX OK
,CIEL HR Services,info@cielhr.com,Corporate Office,General,Other,Staffing/recruitment firm; VERIFIED printed on cielhr.com (cf-decoded); MX OK
,CIEL HR Services,helpdesk@cielhr.com,Helpdesk,Support,Other,Staffing/recruitment firm; VERIFIED printed on cielhr.com (cf-decoded); MX OK
,CIEL HR Services,esic@cielhr.com,ESIC Desk,Compliance,Other,Staffing/recruitment firm; VERIFIED printed on cielhr.com (cf-decoded); MX OK
,CIEL HR Services,pf@cielhr.com,PF Desk,Compliance,Other,Staffing/recruitment firm; VERIFIED printed on cielhr.com (cf-decoded); MX OK
,Crescendo Global,consult@crescendogroup.in,Consult Desk,Recruitment,Other,Executive search/recruitment; VERIFIED printed on crescendo-global.com/contact-us (cf-decoded); MX OK
,HR Helpdesk,hrhelpdesk@hrhelpdesk.in,Contact Desk,Recruitment,Other,HR consultancy; VERIFIED printed on hrhelpdesk.in/contact-us (mailto); MX OK
,Concord Biotech,ravirajkaria@concordbiotech.com,Raviraj Karia,Chief Financial Officer (KMP),Gandhinagar/Ahmedabad,Ahmedabad; VERIFIED named KMP w/ email printed on concordbiotech.com/investors; MX OK
,Concord Biotech,rnt.helpdesk@in.mpms.mufg.com,MUFG Intime Registrar,Registrar Helpdesk,Other,Registrar for Concord Biotech; VERIFIED printed on concordbiotech.com/investors (mailto); MX OK
,Symphony Ltd,companysecretary@symphonylimited.com,Company Secretary,Company Secretary,Gandhinagar/Ahmedabad,Ahmedabad; VERIFIED printed on symphonylimited.com/investors (cf-decoded); MX OK
,Symphony Ltd,investors@symphonylimited.com,Investor Relations,Investor Relations,Gandhinagar/Ahmedabad,Ahmedabad; VERIFIED printed on symphonylimited.com/investors (cf-decoded); MX OK
,Experion Technologies,careers@experionglobal.com,Careers Desk,Recruitment,Other,Thiruvananthapuram/Technopark product engineering; VERIFIED printed on experionglobal.com/contact-us; MX OK
,Experion Technologies,info@experionglobal.com,Corporate Office,General,Other,Thiruvananthapuram/Technopark product engineering; VERIFIED printed on experionglobal.com/contact-us; MX OK
,SunTec Business Solutions,tat@suntecgroup.com,Talent Acquisition Team,Recruitment,Other,Thiruvananthapuram fintech product; VERIFIED printed on suntecgroup.com/career (careers page); MX OK
,Reflections Info Systems,info@reflectionsinfos.com,Corporate Office,General,Other,Thiruvananthapuram/Technopark software dev; VERIFIED printed on reflectionsinfos.com/contact-us; MX OK
,Techversant Infotech,services@techversantinfotech.com,Services Desk,General,Other,Thiruvananthapuram software dev; VERIFIED printed on techversantinfotech.com/contact-us; MX OK
,KGiSL,tag@kgisl.com,Talent Acquisition Group,Recruitment,Other,Coimbatore IT services; VERIFIED printed on kgisl.com/contact-us as the job-opportunities address; MX OK
,KGiSL,sales@kgisl.com,Sales Team,Sales,Other,Coimbatore IT services; VERIFIED printed on kgisl.com/contact-us; MX OK
,ELGi Equipments,careers@elgi.com,Careers Desk,Recruitment,Other,Coimbatore manufacturing; VERIFIED printed on elgi.com/in/contact-us; MX OK
,ELGi Equipments,enquiry@elgi.com,Enquiry Desk,General,Other,Coimbatore manufacturing; VERIFIED printed on elgi.com/in/contact-us; MX OK
,Pricol,connect@pricol.com,Connect Desk,General,Other,Coimbatore auto components; VERIFIED printed on pricol.com/contact-us; MX OK
,Pricol,cs@pricol.com,Company Secretary,Company Secretary,Other,Coimbatore auto components; VERIFIED printed on pricol.com/contact-us; MX OK
,Miracle Software Systems,info@miraclesoft.com,Corporate Office,General,Other,Visakhapatnam IT services; VERIFIED printed on miraclesoft.com/contact-us; MX OK
,Efftronics Systems,hr@efftronics.com,HR Desk,Recruitment,Other,Vijayawada electronics/embedded; VERIFIED printed on efftronics.com/contact-us and /careers; MX OK
,Efftronics Systems,info@efftronics.com,Corporate Office,General,Other,Vijayawada electronics/embedded; VERIFIED printed on efftronics.com/contact-us; MX OK
,Pinnacle Teleservices,sales@pinnacle.in,Sales Desk,Sales,Other,Nagpur CPaaS/telecom software; VERIFIED printed on pinnacle.in/contact-us; MX OK
,Pinnacle Teleservices,support@pinnacle.in,Support Desk,Support,Other,Nagpur CPaaS/telecom software; VERIFIED printed on pinnacle.in/contact-us; MX OK
,Trioangle Technologies,hr@trioangle.com,HR Desk,Recruitment,Other,Madurai web/mobile dev; VERIFIED printed on trioangle.com/careers; MX OK
,Sedin Technologies,sales@sedintechnologies.com,Sales Desk,Sales,Other,Chennai digital engineering; VERIFIED printed on sedintechnologies.com/contact-us; MX OK
,NeST Digital,connect.nestdigital@nestgroup.net,Connect Desk,General,Other,Kochi embedded/product engineering; VERIFIED printed on nestdigital.com/contact; MX OK
,ClaySys Technologies,info@claysys.com,Corporate Office,General,Other,Kochi InfoPark + Coimbatore; VERIFIED printed on claysys.com/careers; MX OK
,ClaySys Technologies,sales@claysys.com,Sales Desk,Sales,Other,Kochi InfoPark + Coimbatore; VERIFIED printed on claysys.com/careers; MX OK
,Armia Systems,jobs@armia.com,Jobs Desk,Recruitment,Other,Kochi software dev; VERIFIED printed on armia.com/careers; MX OK
,Armia Systems,info@armia.com,Corporate Office,General,Other,Kochi software dev; VERIFIED printed on armia.com/contact-us; MX OK
,Tessolve Semiconductor,hr@tessolve.com,HR Desk,Recruitment,Bangalore,Bengaluru semiconductor/VLSI; VERIFIED printed on tessolve.com/contact-us and /careers; MX OK
,Tessolve Semiconductor,sales@tessolve.com,Sales Desk,Sales,Bangalore,Bengaluru semiconductor/VLSI; VERIFIED printed on tessolve.com/contact-us; MX OK
,Robosoft Technologies,careers@robosoftin.com,Careers Desk,Recruitment,Bangalore,Bengaluru product/app engineering; VERIFIED printed on robosoftin.com/careers; MX OK
,Robosoft Technologies,services@robosoftin.com,Services Desk,General,Bangalore,Bengaluru product/app engineering; VERIFIED printed on robosoftin.com/contact; MX OK
,Ittiam Systems,talent@ittiam.com,Talent Desk,Recruitment,Bangalore,Bengaluru embedded/multimedia R&D; VERIFIED printed on ittiam.com/contact under 'Career @ Ittiam' (send resumes); MX OK
,Ittiam Systems,info@ittiam.com,Corporate Office,General,Bangalore,Bengaluru embedded/multimedia R&D; VERIFIED printed on ittiam.com/contact; MX OK
,Happiest Minds,business@happiestminds.com,Business Desk,General,Bangalore,Bengaluru digital IT; VERIFIED printed on happiestminds.com/contact-us; MX OK
,Happiest Minds,ir@happiestminds.com,Investor Relations,Investor Relations,Bangalore,Bengaluru digital IT; VERIFIED printed on happiestminds.com/investors; MX OK
,Happiest Minds,media@happiestminds.com,Media Desk,Media,Bangalore,Bengaluru digital IT; VERIFIED printed on happiestminds.com/investors; MX OK
,Avekshaa Technologies,careers@avekshaa.com,Careers Desk,Recruitment,Bangalore,Bengaluru performance engineering; VERIFIED printed on avekshaa.com/careers; MX OK
,Avekshaa Technologies,info@avekshaa.com,Corporate Office,General,Bangalore,Bengaluru performance engineering; VERIFIED printed on avekshaa.com/contact-us; MX OK
,Sonata Software,info@sonata-software.com,Corporate Office,General,Bangalore,Bengaluru IT services; VERIFIED printed on sonata-software.com/contact-us; MX OK
,Aurigo Software,sales@aurigo.com,Sales Desk,Sales,Bangalore,Bengaluru construction SaaS; VERIFIED printed on aurigo.com/contact; MX OK
,Aurigo Software,support@aurigo.com,Support Desk,Support,Bangalore,Bengaluru construction SaaS; VERIFIED printed on aurigo.com/contact; MX OK
,Mistral Solutions,info@mistralsolutions.com,Corporate Office,General,Bangalore,Bengaluru embedded/defence electronics; VERIFIED printed on mistralsolutions.com/contact; MX OK
,Mistral Solutions,mistral-hyd@mistralsolutions.com,Hyderabad Office,General,Bangalore,Hyderabad office of Bengaluru embedded firm; VERIFIED printed on mistralsolutions.com/contact; MX OK
,Kellton Tech,compliance@kelltontech.com,Compliance Officer Desk,Compliance,Other,Hyderabad IT services; VERIFIED printed on kellton.com/investors; MX OK
,Entrans Technologies,hr@entrans.io,HR Desk,Recruitment,Other,Hyderabad AI/data engineering; VERIFIED printed on entrans.io/careers; MX OK
,Entrans Technologies,info@entrans.io,Corporate Office,General,Other,Hyderabad AI/data engineering; VERIFIED printed on entrans.io/contact-us; MX OK
,Pennant Technologies,hr@pennanttech.com,HR Desk,Recruitment,Other,Hyderabad lending fintech product; VERIFIED printed on pennanttech.com/contact-us; MX OK
,Pennant Technologies,jobs@pennanttech.com,Jobs Desk,Recruitment,Other,Hyderabad lending fintech product; VERIFIED printed on pennanttech.com/contact-us; MX OK
,Pennant Technologies,info@pennanttech.com,Corporate Office,General,Other,Hyderabad lending fintech product; VERIFIED printed on pennanttech.com/contact-us; MX OK
,Aspire Systems,info-india@aspiresys.com,India Desk,General,Other,Chennai product engineering; VERIFIED printed on aspiresys.com/contact-us as the India address; MX OK
,Aspire Systems,info@aspiresys.com,Corporate Office,General,Other,Chennai product engineering; VERIFIED printed on aspiresys.com/contact-us; MX OK
,Sify Technologies,investor.relations@sifycorp.com,Investor Relations,Investor Relations,Other,Chennai IT/network services; VERIFIED printed on sifycorp.com/investors; MX OK
,Sify Technologies,marketing@sifycorp.com,Marketing Desk,Marketing,Other,Chennai IT/network services; VERIFIED printed on sifycorp.com/contact; MX OK
,Ramco Systems,contact@ramco.com,Contact Desk,General,Other,Chennai ERP/AI SaaS; VERIFIED printed on ramco.com/investors and /careers; MX OK
,Prodapt,info@prodapt.com,Corporate Office,General,Other,Chennai telecom domain engineering; VERIFIED printed on prodapt.com/contact-us; MX OK
,iLink Digital,contact@ilink-digital.com,Contact Desk,General,Other,Chennai digital/cloud services; VERIFIED printed on ilink-digital.com/contact-us; MX OK
,Kissflow,sales@kissflow.com,Sales Desk,Sales,Other,Chennai no-code SaaS; VERIFIED printed on kissflow.com/contact-us; MX OK
,CEDCOSS Technologies,careers@cedcoss.com,Careers Desk,Recruitment,Other,Lucknow ecommerce/Magento product; VERIFIED printed on cedcoss.com/contact and /careers; MX OK
,CEDCOSS Technologies,info@cedcoss.com,Corporate Office,General,Other,Lucknow ecommerce/Magento product; VERIFIED printed on cedcoss.com/contact; MX OK
,CEDCOSS Technologies,press@cedcoss.com,Press Desk,Media,Other,Lucknow ecommerce/Magento product; VERIFIED printed on cedcoss.com/contact; MX OK
,Softpro India,info@softproindia.in,Corporate Office,General,Other,Lucknow IT services/training; VERIFIED printed on softproindia.in/contact-us; MX OK
,Softpro India,anand.softpro@gmail.com,Anand,Named contact,Other,"Lucknow IT services/training; VERIFIED printed on softproindia.in/contact-us; free-mail address, treat as personal"
,DigiCoders Technologies,info@digicoders.in,Corporate Office,General,Other,Lucknow web/app dev; VERIFIED printed on digicoders.in homepage; MX OK
,Duplex Technologies,sales@duplextech.com,Sales Desk,Sales,Other,Lucknow custom software/ERP; VERIFIED printed on duplextech.com/contact-us and /careers; MX OK
,MindStick Software,contact@mindstick.com,Contact Desk,General,Other,Prayagraj Microsoft partner/app dev; VERIFIED printed on mindstick.com homepage; MX OK
,Nadcab Labs,info@nadcab.com,Corporate Office,General,Other,Prayagraj blockchain/Web3 dev; VERIFIED printed on nadcab.com/contact; MX OK
,Nadcab Labs,sales@nadcab.com,Sales Desk,Sales,Other,Prayagraj blockchain/Web3 dev; VERIFIED printed on nadcab.com/contact and /career; MX OK
,Triffort,hr@triffort.com,HR Desk,Recruitment,Other,Prayagraj software dev; VERIFIED printed on triffort.com/contact; MX OK
,Triffort,sales@triffort.com,Sales Desk,Sales,Other,Prayagraj software dev; VERIFIED printed on triffort.com/contact; MX OK
,RR Multisales,hr@rrmultisales.com,HR Desk,Recruitment,Other,Prayagraj IT/software; VERIFIED printed on rrmultisales.com/contact; MX OK
,RR Multisales,info@rrmultisales.com,Corporate Office,General,Other,Prayagraj IT/software; VERIFIED printed on rrmultisales.com/contact; MX OK
,RR Multisales,support@rrmultisales.com,Support Desk,Support,Other,Prayagraj IT/software; VERIFIED printed on rrmultisales.com/contact; MX OK
,PraRabh IT Solutions,info@prarabhitsolutions.in,Corporate Office,General,Other,Prayagraj software/ERP/web dev; VERIFIED printed on prarabhitsolutions.in/contact; MX OK
,EndureAir Systems,sales@endureair.tech,Sales Desk,Sales,Other,Kanpur IIT-K incubated UAV/drone startup; VERIFIED printed on endureair.com/contact; MX OK
