#,Company,Email,Person,Title,Region,Notes
,InheritX Solutions,contact@inheritx.com,Contact Desk,General,Gandhinagar/Ahmedabad,Ahmedabad software/mobile dev; VERIFIED printed on inheritx.com; MX OK
,Neetable Technologies,careers@neetable.com,Careers Desk,Recruitment,Bangalore,Bengaluru software/product dev; VERIFIED printed on neetable.com; MX OK
,Incentius,info@incentius.com,Corporate Office,General,Bangalore,Bengaluru/Pune software & analytics dev; VERIFIED printed on incentius.com; MX OK
,Trinesis Technologies,hello@trinesis.com,Contact Desk,General,Bangalore,Bengaluru software/product dev; VERIFIED printed on trinesis.com; MX OK
,Codewave Technologies,hello@codewave.com,Contact Desk,General,Bangalore,Bengaluru software/design dev; VERIFIED printed on codewave.com; MX OK
,Ionixx Technologies,hr@ionixxtech.com,HR Desk,Recruitment,Bangalore,Bengaluru/Chennai software/fintech dev; VERIFIED printed on ionixxtech.com/careers; MX OK
,Ionixx Technologies,info@ionixxtech.com,Corporate Office,General,Bangalore,Bengaluru/Chennai software/fintech dev; VERIFIED printed on ionixxtech.com/careers; MX OK
,Fission Labs,careers@fissionlabs.com,Careers Desk,Recruitment,Other,Hyderabad software/cloud dev; VERIFIED printed on fissionlabs.com/careers; MX OK
,Fission Labs,info@fissionlabs.com,Corporate Office,General,Other,Hyderabad software/cloud dev; VERIFIED printed on fissionlabs.com; MX OK
,Gramener,careers@gramener.com,Careers Desk,Recruitment,Other,Hyderabad data science/analytics; VERIFIED printed on gramener.com/careers; MX OK
,Gramener,hr@gramener.com,HR Desk,Recruitment,Other,Hyderabad data science/analytics; VERIFIED printed on gramener.com/careers; MX OK
,Kanerika,hr@kanerika.com,HR Desk,Recruitment,Other,Hyderabad data/AI & software dev; VERIFIED printed on kanerika.com/contact; MX OK
,Intellectyx,info@intellectyx.com,Corporate Office,General,Other,Hyderabad data/AI & software dev; VERIFIED printed on intellectyx.com; MX OK
,Intellectyx,recruitment@intellectyx.com,Careers Desk,Recruitment,Other,Hyderabad data/AI & software dev; VERIFIED printed on intellectyx.com/careers; MX OK
,e-Zest Solutions,info@e-zest.com,Corporate Office,General,Other,Pune software/product dev; VERIFIED printed on e-zest.com; MX OK
,Deqode,hr@deqode.com,HR Desk,Recruitment,Other,Pune/Indore software & blockchain dev; VERIFIED printed on deqode.com/contact; MX OK
,Velotio Technologies,careers@velotio.com,Careers Desk,Recruitment,Other,Pune software/product dev; VERIFIED printed on velotio.com/contact-us; MX OK
,Velotio Technologies,contact@velotio.com,Contact Desk,General,Other,Pune software/product dev; VERIFIED printed on velotio.com; MX OK
,Talentica Software,careers@talentica.com,Careers Desk,Recruitment,Other,Pune product engineering; VERIFIED printed on talentica.com/contact-us; MX OK
,Talentica Software,info@talentica.com,Corporate Office,General,Other,Pune product engineering; VERIFIED printed on talentica.com; MX OK
,NeoSOFT Technologies,careers@neosofttech.com,Careers Desk,Recruitment,Other,Pune/Mumbai software dev; VERIFIED printed on neosofttech.com/careers; MX OK
,NeoSOFT Technologies,hrm@neosofttech.com,HR Desk,Recruitment,Other,Pune/Mumbai software dev; VERIFIED printed on neosofttech.com/contact; MX OK
,Clarion Technologies,info@clariontech.com,Corporate Office,General,Other,Pune software/product dev; VERIFIED printed on clariontech.com; MX OK
,Mindbowser,contact@mindbowser.com,Contact Desk,General,Other,Pune software/product dev; VERIFIED printed on mindbowser.com/contact; MX OK
,Mindbowser,ta@mindbowser.com,Talent Desk,Recruitment,Other,Pune software/product dev; VERIFIED printed on mindbowser.com/careers; MX OK
,Harbinger Group,info@harbingergroup.com,Corporate Office,General,Other,Pune software/product dev; VERIFIED printed on harbingergroup.com; MX OK
,Opcito Technologies,careers@opcito.com,Careers Desk,Recruitment,Other,Pune DevOps/cloud & software dev; VERIFIED printed on opcito.com/careers; MX OK
,Opcito Technologies,contact@opcito.com,Contact Desk,General,Other,Pune DevOps/cloud & software dev; VERIFIED printed on opcito.com; MX OK
,Young Minds Technology Solutions,info@ymtsindia.com,Corporate Office,General,Other,Tirupati software/web dev; VERIFIED printed on ymtsindia.com; MX OK
,Of2On Software Solutions,info@of2on.com,Corporate Office,General,Other,Tirupati software/IT services; VERIFIED printed on of2on.com; MX OK
,Signature Software Lab,info@signaturesoftwarelab.com,Corporate Office,General,Other,Tirupati custom software/web & mobile dev; VERIFIED printed on signaturesoftwarelab.com; MX OK
,Dev Rabbit IT Solutions,info@devrabbit.com,Corporate Office,General,Other,Tirupati software/product dev; VERIFIED printed on devrabbit.com; MX OK
,Mindbowser,danbrody@mindbowser.com,Dan Brody,Business Contact,Other,Pune software/product dev; VERIFIED rendered on mindbowser.com/contact (WebFetch-confirmed); MX OK
,Mindbowser,skumar@mindbowser.com,S Kumar,Business Contact,Other,Pune software/product dev; VERIFIED rendered on mindbowser.com/contact (WebFetch-confirmed); MX OK
,Rapidbrains,febina@hashroot.com,Febina K V,Director & chief people officer,Other,Rapidbrains HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Pratiti technologies,atul.gaikwad@pratititech.com,Atul Andrew Gaikwad,Chief human resources officer,Other,Pratiti technologies HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Appzlogic,shruti@appzlogic.com,Shruti Dixit,Chro,Other,Appzlogic HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Virtual height,kasak@virtualheight.com,Shivani H. Jaiswal,Chief people officer,Other,Virtual height HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK [name/local-part mismatch - verify
,Sixt research and development india,sumanth.bs@sixt.com,Sumanth Bs,Co chief executive officer & executive director of people & culture,Other,Sixt research and development india HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Metafic,priyanka@metafic.co,Priyanka Manjariya,Chief people officer,Other,Metafic HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Adaniconnex,anil.dixit@adani.com,Anil Dixit,Chief people officer,Other,Adaniconnex HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Arteria technologies private,pradeep.das@arteriatech.com,Pradeep Das,Chief human resources officer,Other,Arteria technologies private HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Mai labs,gaurav.kapil@mai.io,Gaurav Kapil,Chief human resources officer,Other,Mai labs HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Roadzen,sanya@roadzen.io,Sanya Soni,Global- chief of staff | chro,Other,Roadzen HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Nsp,swati.priya@nsplustech.com,Swati Priya,Chief human resources officer,Other,Nsp HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Baazi games,vaibhav.bhandari@baazigames.com,Vaibhav Bhandari,Chief human resources officer,Other,Baazi games HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Ideassion technology solutions,arunmani@ideassion.com,Dr. Arun Mani,Vice president & chro,Other,Ideassion technology solutions HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK [name/local-part m
,Klizo solutions,nabanita@klizos.com,Nabanita Banerjee,Chief human resources officer,Other,Klizo solutions HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,University living,manoj.sharma@universityliving.com,Manoj Sharma,Senior vice president and global head human resources,Other,University living HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Sixt research and development india,gokul.chandrappa@sixt.com,Gokul Chandrappa,Director - human resources,Other,Sixt research and development india HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Virtual height,simran@virtualheight.com,Simran Gupta,Human resources manager,Other,Virtual height HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Pratiti technologies,purnesh.joshi@pratititech.com,Purnesh Joshi,Human resources leader,Other,Pratiti technologies HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Baazi games,abhijeet.singh@baazigames.com,Abhijeet Singh,Manager - human resources business partner,Other,Baazi games HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Roadzen,ritika@roadzen.io,Ritika Sharma,Human resources manager,Other,Roadzen HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Mai labs,deepika.singh@mai.io,Deepika Singh,Talent partner,Other,Mai labs HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Appzlogic,garima.gupta@appzlogic.com,Garima Gupta,Us information technology recruiter,Other,Appzlogic HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Rapidbrains,shishira@hashroot.com,Shishira Ac,Talent acquisition specialist,Other,Rapidbrains HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Baazi games,munmun.jain@baazigames.com,Munmun Jain,Human resources business partner,Other,Baazi games HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Rapidbrains,prajisha@hashroot.com,Prajisha P,Talent acquisition specialist,Other,Rapidbrains HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Pratiti technologies,deepanjali.gaikwad@pratititech.com,Deepanjali Gaikwad,Senior executive talent acquisition,Other,Pratiti technologies HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,University living,shivangi.dubey@universityliving.com,Shivangi Dubey,Human resources associate,Other,University living HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Rapidbrains,zafar.ali@rapidbrains.com,Zafar Ali,Freelancer recruiter,Other,Rapidbrains HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Appzlogic,priyanka.tomar@appzlogic.com,Priyanka Tomar,Talent acquisition specialist,Other,Appzlogic HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Appzlogic,adhya.chand@appzlogic.com,Adhya Chand,Talent acquisition executive,Other,Appzlogic HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Appzlogic,atharva.vispute@appzlogic.com,Atharva Vispute,Talent acquisition executive,Other,Appzlogic HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Klizo solutions,kuheli@klizos.com,Kuheli Das,Recruiter,Other,Klizo solutions HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Klizo solutions,shreya@klizos.com,Shreya Pyne,Talent acquisition executive,Other,Klizo solutions HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,University living,jyoti.kathayat@universityliving.com,Jyoti Kathayat,Learning and development,Other,University living HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Rapidbrains,sruthi@hashroot.com,Sruthi Ramkumar,Talent acquisition specialist,Other,Rapidbrains HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Nsp,akulkarni@nsp-fr.com,Ashwini Kulkarni,Human resources executive,Other,Nsp HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK [name/local-part mismatch - verify before use
,Arteria technologies private,lokesh.reddy@arteriatech.com,Lokesh Reddy,Talent acquisition leader,Other,Arteria technologies private HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Nsp,areddy@nsp-fr.com,Anjali Reddy,Senior human resources executive,Other,Nsp HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK [name/local-part mismatch - verify before use
,Nsp,sbhagyasree@nsp-fr.com,Sanala Bhagyasree,Senior human resources executive,Other,Nsp HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK [name/local-part mismatch - verify before use
,Metafic,adeeba@metafic.co,Aman  Jain,Talent acquisition specialist,Other,Metafic HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK [name/local-part mismatch - verify before
,Klizo solutions,kamalesh@klizos.com,Kamalesh Saha,Fresher talent acquisition executive,Other,Klizo solutions HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Pratiti technologies,niharika.sharma@pratititech.com,Niharika Sharma,Ta executive,Other,Pratiti technologies HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Pratiti technologies,pranay.bhalerao@pratititech.com,Pranay Bhalerao,Talent acquisition specialist,Other,Pratiti technologies HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,Metafic,swapnilthakur@metafic.co,Swapnil Thakur,Senior talent acquisition specialist,Other,Metafic HR/TA contact; source Vibe Prospecting (Explorium) status=valid; MX OK
,CDN Solutions Group,varshagarg@cdnsol.com,Varsha Garg,Team Contact,Other,Indore software dev; VERIFIED rendered on cdnsol.com/team (WebFetch-confirmed); MX OK
,Innofied Solutions,career@innofied.com,Careers Desk,Recruitment,Other,Kolkata software/app dev; VERIFIED printed on innofied.com/contact; MX OK
,Capital Numbers Infotech,info@capitalnumbers.com,Corporate Office,General,Other,Kolkata software/web dev; VERIFIED printed on capitalnumbers.com; MX OK
,WebGuru Infosystems,enquiry@webguru-india.com,Contact Desk,General,Other,Kolkata web/app dev; VERIFIED printed on webguru-india.com; MX OK
,Cabot Technology Solutions,info@cabotsolutions.com,Corporate Office,General,Other,Kochi/Coimbatore software dev; VERIFIED printed on cabotsolutions.com/contact; MX OK
,Auriga IT Consulting,careers@aurigait.com,Careers Desk,Recruitment,Other,Jaipur software/product dev; VERIFIED printed on aurigait.com/contact; MX OK
,Auriga IT Consulting,contactus@aurigait.com,Contact Desk,General,Other,Jaipur software/product dev; VERIFIED printed on aurigait.com/contact; MX OK
,Skcript,karthik@skcript.com,Karthik Kamalakannan,Chief Executive Officer,Other,Hyderabad software/AI dev; VERIFIED rendered on skcript.com/team (WebFetch-confirmed); MX OK
,Yelo Marketing,daman@yelomarketing.com,Daman,Founder/Director,Other,Kanpur digital marketing/IT; VERIFIED rendered on yelomarketing.com/about (WebFetch-confirmed); MX OK
,EngineerBabu,mayank@engineerbabu.com,Mayank,Business Contact,Other,Indore software/product dev; VERIFIED rendered on engineerbabu.com footer (WebFetch-confirmed); MX OK
